Type;Operation;Path
File;Deleted;C:\ProgramData\Mozilla-1de4eec8-1241-4177-a864-e594e8d1fb38\uninstall_ping_308046B0AF4A39CB_c4b89580-3c14-4027-80c8-be36f673357c.json
File;Deleted;C:\Users\All Users\Mozilla-1de4eec8-1241-4177-a864-e594e8d1fb38\uninstall_ping_308046B0AF4A39CB_c4b89580-3c14-4027-80c8-be36f673357c.json
File;Deleted;C:\Users\Cuckoo\AppData\Local\Mozilla\Firefox\SkeletonUILock-c388d246
File;Deleted;C:\Users\Cuckoo\AppData\Roaming\Microsoft\Windows\Themes\CachedFiles\CachedImage_1024_768_POS4.jpg
File;Deleted;C:\Users\Cuckoo\AppData\Roaming\Microsoft\Windows\Themes\CachedFiles\CachedImage_1280_1024_POS4.jpg
File;Deleted;C:\Users\Cuckoo\AppData\Roaming\Microsoft\Windows\Themes\CachedFiles\CachedImage_1600_1200_POS4.jpg
File;Deleted;C:\Users\Cuckoo\AppData\Roaming\Mozilla\Firefox\Profiles\s2hic8fl.default-release\saved-telemetry-pings\b11c738d-e9cd-433c-a0bf-60013400dda6
File;Deleted;C:\Users\Cuckoo\AppData\Roaming\Mozilla\Firefox\Profiles\s2hic8fl.default-release\saved-telemetry-pings\f2d8525e-8e35-4556-9a61-148614ff1489
File;Deleted;C:\Users\Cuckoo\Desktop\Tools\SpyStudio-v2-x64\Deviare32.db
File;Deleted;C:\Users\Cuckoo\Desktop\Tools\SpyStudio-v2-x64\Deviare64.db
File;Deleted;C:\Users\Cuckoo\Desktop\Tools\SpyStudio-v2-x64\SpyStudio.exe.config
File;Deleted;C:\Users\Cuckoo\Documents\Images\2466a485-054c-4990-bc7e-9d48418c6100_w1200_r1.77_fpx51.98_fpy45.jpg
File;Deleted;C:\Users\Cuckoo\Documents\Images\5134840_1_articledetail_imago0099083268h.jpg
File;Deleted;C:\Users\Cuckoo\Documents\Images\6ef5b627cb2e39c4ccc1cb2731_YyAxODk1eDEwNjYrMTQyKzICcmUgNDgwIDI3MAMwMzY1MmIzNGNiMw==.jpg
File;Deleted;C:\Users\Cuckoo\Documents\Images\800px-Black_jaguar.jpg
File;Deleted;C:\Users\Cuckoo\Documents\Images\8b5f030a-b8ba-4919-b3dd-ce6760947272_w1200_r1.33_fpx34.9_fpy47.jpg
File;Deleted;C:\Users\Cuckoo\Documents\Images\a-panther-is-seen-after-being-sedated-in-league-of-the-protection-of-animals-lpa-shelter-in-lille.jpg
File;Deleted;C:\Users\Cuckoo\Documents\Images\a9e489fd91dede983b53d9d53f_cmUgMTkyMCAxMDgwA2RhYTRmMWQ4NTkz_gettyimages-647684340.jpg
File;Deleted;C:\Users\Cuckoo\Documents\Images\csm_artenschutzweltweit_header_leopard_e16baa4490.jpg
File;Deleted;C:\Users\Cuckoo\Documents\Images\csm_gepard-jungtiere-WW267474-c-scott-davis_8d5495fe0d.jpg
File;Deleted;C:\Users\Cuckoo\Documents\Images\csm_Schwarzer_Panther_CBurnett_cc-by-sa_3.0_5f5289ac62.jpg
File;Deleted;C:\Users\Cuckoo\Documents\Images\der-leopard-soll-das-maedchen-in-zwei-teile-zerfetzt-haben-1622902023.jpg
File;Deleted;C:\Users\Cuckoo\Documents\Images\gepard.jpg
File;Deleted;C:\Users\Cuckoo\Documents\Images\istockphoto-168415745-170667a.jpg
File;Deleted;C:\Users\Cuckoo\Documents\Images\leopard-515509__480.jpg
File;Deleted;C:\Users\Cuckoo\Documents\Images\LeopardKingdom_03.jpg
File;Deleted;C:\Users\Cuckoo\Documents\Images\leopard_l.jpg
File;Deleted;C:\Users\Cuckoo\Documents\Images\Leopard_spickipedia.jpg
File;Deleted;C:\Users\Cuckoo\Documents\Images\n-wide2x-16x9-fill.jpeg
File;Deleted;C:\Users\Cuckoo\Documents\Images\panther-g1acec94f2_1920.jpg
File;Deleted;C:\Users\Cuckoo\Documents\Images\Panther-schwarzer_leopard-original_ww22486-c-edwin_giesbers-naturepl.com-wwf.jpg
File;Deleted;C:\Users\Cuckoo\Documents\Images\SnowLeopard2.jpg
File;Deleted;C:\Users\Cuckoo\Documents\Images\tiger-indien.jpg
File;Deleted;C:\Users\Cuckoo\Documents\Open Office\char_sheet.docx
File;Deleted;C:\Users\Cuckoo\Documents\Open Office\ransomware-detection.docx
File;Deleted;C:\Users\Cuckoo\Documents\Open Office\ransomware-memory-analysis.docx
File;Deleted;C:\Users\Cuckoo\Documents\Open Office\test.docx
File;Deleted;C:\Users\Cuckoo\Documents\Open Office\volatility.docx
File;Deleted;C:\Users\Cuckoo\Documents\PDFs\2010.07754.pdf
File;Deleted;C:\Users\Cuckoo\Documents\PDFs\2011.12248.pdf
File;Deleted;C:\Users\Cuckoo\Documents\PDFs\2012.08487.pdf
File;Deleted;C:\Users\Cuckoo\Documents\PDFs\2101.12434.pdf
File;Deleted;C:\Users\Cuckoo\Documents\PDFs\2103.17059.pdf
File;Deleted;C:\Users\Cuckoo\Documents\PDFs\2104.07409.pdf
File;Deleted;C:\Users\Cuckoo\Documents\PDFs\2105.03514.pdf
File;Deleted;C:\Users\Cuckoo\Documents\PDFs\2107.09470.pdf
File;Deleted;C:\Users\Cuckoo\Documents\PDFs\2107.14578.pdf
File;Deleted;C:\Users\Cuckoo\Documents\PDFs\2109.01047.pdf
File;Deleted;C:\Users\Cuckoo\Documents\PDFs\2109.11542.pdf
File;Deleted;C:\Users\Cuckoo\Documents\PDFs\2109.12162.pdf
File;Deleted;C:\Users\Cuckoo\Documents\PDFs\2110.00362.pdf
File;Deleted;C:\Users\Cuckoo\Documents\PDFs\2111.00097.pdf
File;Deleted;C:\Users\Cuckoo\Documents\PDFs\2201.04424.pdf
File;Deleted;C:\Users\Cuckoo\Documents\PDFs\2201.06068.pdf
File;Deleted;C:\Users\Cuckoo\Documents\PDFs\2201.08154.pdf
File;Deleted;C:\Users\Cuckoo\Documents\PDFs\2201.11148.pdf
File;Deleted;C:\Users\Cuckoo\Documents\PDFs\2202.03276.pdf
File;Deleted;C:\Users\Cuckoo\Documents\PDFs\2202.06108.pdf
File;Deleted;C:\Users\Cuckoo\Documents\PDFs\char_sheet.pdf
File;Deleted;C:\Users\Cuckoo\Documents\PDFs\ransomware-detection.pdf
File;Deleted;C:\Users\Cuckoo\Documents\PDFs\ransomware-memory-analysis.pdf
File;Deleted;C:\Users\Cuckoo\Documents\PDFs\test.pdf
File;Deleted;C:\Users\Cuckoo\Documents\PDFs\volatility.pdf
File;Deleted;C:\Users\Cuckoo\Documents\Txt\2010.07754.txt
File;Deleted;C:\Users\Cuckoo\Documents\Txt\2011.12248.txt
File;Deleted;C:\Users\Cuckoo\Documents\Txt\2012.08487.txt
File;Deleted;C:\Users\Cuckoo\Documents\Txt\2101.12434.txt
File;Deleted;C:\Users\Cuckoo\Documents\Txt\2103.17059.txt
