Type;Operation;Path
File;Deleted;C:\Users\Cuckoo\Documents\Images\2466a485-054c-4990-bc7e-9d48418c6100_w1200_r1.77_fpx51.98_fpy45.jpg
File;Deleted;C:\Users\Cuckoo\Documents\Images\5134840_1_articledetail_imago0099083268h.jpg
File;Deleted;C:\Users\Cuckoo\Documents\Images\6ef5b627cb2e39c4ccc1cb2731_YyAxODk1eDEwNjYrMTQyKzICcmUgNDgwIDI3MAMwMzY1MmIzNGNiMw==.jpg
File;Deleted;C:\Users\Cuckoo\Documents\Images\800px-Black_jaguar.jpg
File;Deleted;C:\Users\Cuckoo\Documents\Images\8b5f030a-b8ba-4919-b3dd-ce6760947272_w1200_r1.33_fpx34.9_fpy47.jpg
File;Deleted;C:\Users\Cuckoo\Documents\Images\a-panther-is-seen-after-being-sedated-in-league-of-the-protection-of-animals-lpa-shelter-in-lille.jpg
File;Deleted;C:\Users\Cuckoo\Documents\Images\a9e489fd91dede983b53d9d53f_cmUgMTkyMCAxMDgwA2RhYTRmMWQ4NTkz_gettyimages-647684340.jpg
File;Deleted;C:\Users\Cuckoo\Documents\Images\black-panther-leopards-Africa-Central-jaguars-South.webp
File;Deleted;C:\Users\Cuckoo\Documents\Images\csm_artenschutzweltweit_header_leopard_e16baa4490.jpg
File;Deleted;C:\Users\Cuckoo\Documents\Images\csm_gepard-jungtiere-WW267474-c-scott-davis_8d5495fe0d.jpg
File;Deleted;C:\Users\Cuckoo\Documents\Images\csm_Schwarzer_Panther_CBurnett_cc-by-sa_3.0_5f5289ac62.jpg
File;Deleted;C:\Users\Cuckoo\Documents\Images\der-leopard-soll-das-maedchen-in-zwei-teile-zerfetzt-haben-1622902023.jpg
File;Deleted;C:\Users\Cuckoo\Documents\Images\gepard.jpg
File;Deleted;C:\Users\Cuckoo\Documents\Images\istockphoto-168415745-170667a.jpg
File;Deleted;C:\Users\Cuckoo\Documents\Images\leopard-515509__480.jpg
File;Deleted;C:\Users\Cuckoo\Documents\Images\Leopard-iStock-489589897_Freder.webp
File;Deleted;C:\Users\Cuckoo\Documents\Images\LeopardKingdom_03.jpg
File;Deleted;C:\Users\Cuckoo\Documents\Images\leopard_l.jpg
File;Deleted;C:\Users\Cuckoo\Documents\Images\Leopard_spickipedia.jpg
File;Deleted;C:\Users\Cuckoo\Documents\Images\n-wide2x-16x9-fill.jpeg
File;Deleted;C:\Users\Cuckoo\Documents\Images\panther-g1acec94f2_1920.jpg
File;Deleted;C:\Users\Cuckoo\Documents\Images\Panther-schwarzer_leopard-original_ww22486-c-edwin_giesbers-naturepl.com-wwf.jpg
File;Deleted;C:\Users\Cuckoo\Documents\Images\Snow-Leopard.webp
File;Deleted;C:\Users\Cuckoo\Documents\Images\SnowLeopard2.jpg
File;Deleted;C:\Users\Cuckoo\Documents\Images\tiger-indien.jpg
File;Deleted;C:\Users\Cuckoo\Documents\Open Office\char_sheet.docx
File;Deleted;C:\Users\Cuckoo\Documents\Open Office\ransomware-detection.docx
File;Deleted;C:\Users\Cuckoo\Documents\Open Office\ransomware-memory-analysis.docx
File;Deleted;C:\Users\Cuckoo\Documents\Open Office\test.docx
File;Deleted;C:\Users\Cuckoo\Documents\Open Office\volatility.docx
File;Deleted;C:\Users\Cuckoo\Documents\PDFs\2010.07754.pdf
File;Deleted;C:\Users\Cuckoo\Documents\PDFs\2011.12248.pdf
File;Deleted;C:\Users\Cuckoo\Documents\PDFs\2012.08487.pdf
File;Deleted;C:\Users\Cuckoo\Documents\PDFs\2101.12434.pdf
File;Deleted;C:\Users\Cuckoo\Documents\PDFs\2103.17059.pdf
File;Deleted;C:\Users\Cuckoo\Documents\PDFs\2104.07409.pdf
File;Deleted;C:\Users\Cuckoo\Documents\PDFs\2105.03514.pdf
File;Deleted;C:\Users\Cuckoo\Documents\PDFs\2107.09470.pdf
File;Deleted;C:\Users\Cuckoo\Documents\PDFs\2107.14578.pdf
File;Deleted;C:\Users\Cuckoo\Documents\PDFs\2109.01047.pdf
File;Deleted;C:\Users\Cuckoo\Documents\PDFs\2109.11542.pdf
File;Deleted;C:\Users\Cuckoo\Documents\PDFs\2109.12162.pdf
File;Deleted;C:\Users\Cuckoo\Documents\PDFs\2110.00362.pdf
File;Deleted;C:\Users\Cuckoo\Documents\PDFs\2111.00097.pdf
File;Deleted;C:\Users\Cuckoo\Documents\PDFs\2201.04424.pdf
File;Deleted;C:\Users\Cuckoo\Documents\PDFs\2201.06068.pdf
File;Deleted;C:\Users\Cuckoo\Documents\PDFs\2201.08154.pdf
File;Deleted;C:\Users\Cuckoo\Documents\PDFs\2201.11148.pdf
File;Deleted;C:\Users\Cuckoo\Documents\PDFs\2202.03276.pdf
File;Deleted;C:\Users\Cuckoo\Documents\PDFs\2202.06108.pdf
File;Deleted;C:\Users\Cuckoo\Documents\PDFs\char_sheet.pdf
File;Deleted;C:\Users\Cuckoo\Documents\PDFs\ransomware-detection.pdf
File;Deleted;C:\Users\Cuckoo\Documents\PDFs\ransomware-memory-analysis.pdf
File;Deleted;C:\Users\Cuckoo\Documents\PDFs\test.pdf
File;Deleted;C:\Users\Cuckoo\Documents\PDFs\volatility.pdf
File;Deleted;C:\Users\Cuckoo\Documents\Txt\2010.07754.txt
File;Deleted;C:\Users\Cuckoo\Documents\Txt\2011.12248.txt
File;Deleted;C:\Users\Cuckoo\Documents\Txt\2012.08487.txt
File;Deleted;C:\Users\Cuckoo\Documents\Txt\2101.12434.txt
File;Deleted;C:\Users\Cuckoo\Documents\Txt\2103.17059.txt
File;Deleted;C:\Users\Cuckoo\Documents\Txt\2104.07409.txt
File;Deleted;C:\Users\Cuckoo\Documents\Txt\2105.03514.txt
File;Deleted;C:\Users\Cuckoo\Documents\Txt\2107.09470.txt
File;Deleted;C:\Users\Cuckoo\Documents\Txt\2107.14578.txt
File;Deleted;C:\Users\Cuckoo\Documents\Txt\2109.01047.txt
File;Deleted;C:\Users\Cuckoo\Documents\Txt\2109.11542.txt
File;Deleted;C:\Users\Cuckoo\Documents\Txt\2109.12162.txt
File;Deleted;C:\Users\Cuckoo\Documents\Txt\2110.00362.txt
File;Deleted;C:\Users\Cuckoo\Documents\Txt\2111.00097.txt
File;Deleted;C:\Users\Cuckoo\Documents\Txt\2201.04424.txt
File;Deleted;C:\Users\Cuckoo\Documents\Txt\2201.06068.txt
File;Deleted;C:\Users\Cuckoo\Documents\Txt\2201.08154.txt
File;Deleted;C:\Users\Cuckoo\Documents\Txt\2201.11148.txt
File;Deleted;C:\Users\Cuckoo\Documents\Txt\2202.03276.txt
File;Deleted;C:\Users\Cuckoo\Documents\Txt\2202.06108.txt
File;Deleted;C:\Users\Cuckoo\Documents\Word\2010.07754.docx
File;Deleted;C:\Users\Cuckoo\Documents\Word\2011.12248.docx
File;Deleted;C:\Users\Cuckoo\Documents\Word\2012.08487.docx
File;Deleted;C:\Users\Cuckoo\Documents\Word\2101.12434.docx
File;Deleted;C:\Users\Cuckoo\Documents\Word\2103.17059.docx
File;Deleted;C:\Users\Cuckoo\Documents\Word\2104.07409.docx
File;Deleted;C:\Users\Cuckoo\Documents\Word\2105.03514.docx
File;Deleted;C:\Users\Cuckoo\Documents\Word\2107.09470.docx
File;Deleted;C:\Users\Cuckoo\Documents\Word\2107.14578.docx
File;Deleted;C:\Users\Cuckoo\Documents\Word\2109.01047.docx
File;Deleted;C:\Users\Cuckoo\Documents\Word\2109.11542.docx
File;Deleted;C:\Users\Cuckoo\Documents\Word\2109.12162.docx
File;Deleted;C:\Users\Cuckoo\Documents\Word\2110.00362.docx
File;Deleted;C:\Users\Cuckoo\Documents\Word\2111.00097.docx
File;Deleted;C:\Users\Cuckoo\Documents\Word\2201.04424.docx
File;Deleted;C:\Users\Cuckoo\Documents\Word\2201.06068.docx
File;Deleted;C:\Users\Cuckoo\Documents\Word\2201.08154.docx
File;Deleted;C:\Users\Cuckoo\Documents\Word\2201.11148.docx
File;Deleted;C:\Users\Cuckoo\Documents\Word\2202.03276.docx
File;Deleted;C:\Users\Cuckoo\Documents\Word\2202.06108.docx
File;Deleted;C:\Users\Cuckoo\Documents\Word\char_sheet.docx
File;Deleted;C:\Users\Cuckoo\Documents\Word\ransomware-detection.docx
File;Deleted;C:\Users\Cuckoo\Documents\Word\ransomware-memory-analysis.docx
File;Deleted;C:\Users\Cuckoo\Documents\Word\test.docx
File;Deleted;C:\Users\Cuckoo\Documents\Word\volatility.docx
Key;Added;HKLM\SOFTWARE\Classes\.256ff27e
Key;Added;HKLM\SOFTWARE\Classes\256ff27e
Key;Added;HKLM\SOFTWARE\Classes\256ff27e\DefaultIcon
Key;Added;HKLM\SOFTWARE\Microsoft\Windows\Windows Error Reporting\TermReason\7576
Key;Added;HKLM\SYSTEM\WPA\8DEC0AF1-0341-4b93-85CD-72606C2DF94C-7P-29
Key;Added;HKU\.DEFAULT\Software\Microsoft\RestartManager
Key;Added;HKU\S-1-5-21-714192414-4250913369-3940896113-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\CloudStore\Store\DefaultAccount\Cloud\default$windows.data.input.devices.pensyncedsettings
Key;Added;HKU\S-1-5-21-714192414-4250913369-3940896113-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\CloudStore\Store\DefaultAccount\Cloud\default$windows.data.input.devices.pensyncedsettings\windows.data.input.devices.pensyncedsettings
Key;Added;HKU\S-1-5-21-714192414-4250913369-3940896113-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\CloudStore\Store\DefaultAccount\Current\default$windows.data.input.devices.mousesyncedsettings
Key;Added;HKU\S-1-5-21-714192414-4250913369-3940896113-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\CloudStore\Store\DefaultAccount\Current\default$windows.data.input.devices.mousesyncedsettings\windows.data.input.devices.mousesyncedsettings
Key;Added;HKU\S-1-5-21-714192414-4250913369-3940896113-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\CloudStore\Store\DefaultAccount\Current\default$windows.data.input.devices.pensyncedsettings
Key;Added;HKU\S-1-5-21-714192414-4250913369-3940896113-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\CloudStore\Store\DefaultAccount\Current\default$windows.data.input.devices.pensyncedsettings\windows.data.input.devices.pensyncedsettings
Key;Added;HKU\S-1-5-21-714192414-4250913369-3940896113-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\CloudStore\Store\DefaultAccount\Current\default$windows.data.input.devices.touchpadsyncedsettings
Key;Added;HKU\S-1-5-21-714192414-4250913369-3940896113-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\CloudStore\Store\DefaultAccount\Current\default$windows.data.input.devices.touchpadsyncedsettings\windows.data.input.devices.touchpadsyncedsettings
Key;Added;HKU\S-1-5-21-714192414-4250913369-3940896113-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\AutoplayHandlers\EventHandlersDefaultSelection\StorageOnArrival
Key;Added;HKU\S-1-5-21-714192414-4250913369-3940896113-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\AutoplayHandlers\UserChosenExecuteHandlers\StorageOnArrival
Key;Added;HKU\S-1-5-21-714192414-4250913369-3940896113-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\MountPoints2\{eb65f6e3-0000-0000-0000-90df09000000}
Key;Added;HKU\S-1-5-21-714192414-4250913369-3940896113-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\MountPoints2\{eb65f6e3-0000-0000-0000-90df09000000}\shell
Key;Added;HKU\S-1-5-21-714192414-4250913369-3940896113-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\MountPoints2\{eb65f6e3-0000-0000-0000-90df09000000}\shell\Autoplay
Key;Added;HKU\S-1-5-21-714192414-4250913369-3940896113-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\MountPoints2\{eb65f6e3-0000-0000-0000-90df09000000}\shell\Autoplay\DropTarget
Key;Added;HKU\S-1-5-21-714192414-4250913369-3940896113-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\RecentDocs\.TXT
Key;Added;HKU\S-1-5-21-714192414-4250913369-3940896113-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\SessionInfo\1\ApplicationViewManagement\W32:000000000008032A
Key;Added;HKU\S-1-5-21-714192414-4250913369-3940896113-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\SessionInfo\1\ApplicationViewManagement\W32:000000000009007A
Key;Added;HKU\S-1-5-21-714192414-4250913369-3940896113-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\Notifications\Settings\Windows.SystemToast.AutoPlay
Key;Added;HKU\S-1-5-21-714192414-4250913369-3940896113-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\Search\JumplistData
Key;Added;HKU\S-1-5-21-714192414-4250913369-3940896113-1001\SOFTWARE\Classes\Local Settings\Software\Microsoft\Windows\Shell\BagMRU\1\2\4
Key;Added;HKU\S-1-5-21-714192414-4250913369-3940896113-1001\SOFTWARE\Classes\Local Settings\Software\Microsoft\Windows\Shell\BagMRU\1\2\4\0
Key;Added;HKU\S-1-5-21-714192414-4250913369-3940896113-1001\SOFTWARE\Classes\Local Settings\Software\Microsoft\Windows\Shell\BagMRU\1\4
Key;Added;HKU\S-1-5-21-714192414-4250913369-3940896113-1001\SOFTWARE\Classes\Local Settings\Software\Microsoft\Windows\Shell\BagMRU\4\1
Key;Added;HKU\S-1-5-21-714192414-4250913369-3940896113-1001\SOFTWARE\Classes\Local Settings\Software\Microsoft\Windows\Shell\BagMRU\4\1\0
Key;Added;HKU\S-1-5-21-714192414-4250913369-3940896113-1001\SOFTWARE\Classes\Local Settings\Software\Microsoft\Windows\Shell\Bags\60
Key;Added;HKU\S-1-5-21-714192414-4250913369-3940896113-1001\SOFTWARE\Classes\Local Settings\Software\Microsoft\Windows\Shell\Bags\60\Shell
Key;Added;HKU\S-1-5-21-714192414-4250913369-3940896113-1001\SOFTWARE\Classes\Local Settings\Software\Microsoft\Windows\Shell\Bags\60\Shell\{80213E82-BCFD-4C4F-8817-BB27601267A9}
Key;Added;HKU\S-1-5-21-714192414-4250913369-3940896113-1001\SOFTWARE\Classes\Local Settings\Software\Microsoft\Windows\Shell\Bags\61
Key;Added;HKU\S-1-5-21-714192414-4250913369-3940896113-1001\SOFTWARE\Classes\Local Settings\Software\Microsoft\Windows\Shell\Bags\61\Shell
Key;Added;HKU\S-1-5-21-714192414-4250913369-3940896113-1001\SOFTWARE\Classes\Local Settings\Software\Microsoft\Windows\Shell\Bags\61\Shell\{80213E82-BCFD-4C4F-8817-BB27601267A9}
Key;Added;HKU\S-1-5-21-714192414-4250913369-3940896113-1001\SOFTWARE\Classes\Local Settings\Software\Microsoft\Windows\Shell\Bags\62
Key;Added;HKU\S-1-5-21-714192414-4250913369-3940896113-1001\SOFTWARE\Classes\Local Settings\Software\Microsoft\Windows\Shell\Bags\62\Shell
Key;Added;HKU\S-1-5-21-714192414-4250913369-3940896113-1001\SOFTWARE\Classes\Local Settings\Software\Microsoft\Windows\Shell\Bags\62\Shell\{5C4F28B5-F869-4E84-8E60-F11DB97C5CC7}
Key;Added;HKU\S-1-5-21-714192414-4250913369-3940896113-1001\SOFTWARE\Classes\Local Settings\Software\Microsoft\Windows\Shell\Bags\63
Key;Added;HKU\S-1-5-21-714192414-4250913369-3940896113-1001\SOFTWARE\Classes\Local Settings\Software\Microsoft\Windows\Shell\Bags\63\Shell
Key;Added;HKU\S-1-5-21-714192414-4250913369-3940896113-1001\SOFTWARE\Classes\Local Settings\Software\Microsoft\Windows\Shell\Bags\63\Shell\{5C4F28B5-F869-4E84-8E60-F11DB97C5CC7}
Key;Added;HKU\S-1-5-21-714192414-4250913369-3940896113-1001\SOFTWARE\Classes\Local Settings\Software\Microsoft\Windows\Shell\Bags\64
Key;Added;HKU\S-1-5-21-714192414-4250913369-3940896113-1001\SOFTWARE\Classes\Local Settings\Software\Microsoft\Windows\Shell\Bags\64\Shell
Key;Added;HKU\S-1-5-21-714192414-4250913369-3940896113-1001\SOFTWARE\Classes\Local Settings\Software\Microsoft\Windows\Shell\Bags\64\Shell\{5C4F28B5-F869-4E84-8E60-F11DB97C5CC7}
Key;Added;HKU\S-1-5-21-714192414-4250913369-3940896113-1001_Classes\Local Settings\Software\Microsoft\Windows\Shell\BagMRU\1\2\4
Key;Added;HKU\S-1-5-21-714192414-4250913369-3940896113-1001_Classes\Local Settings\Software\Microsoft\Windows\Shell\BagMRU\1\2\4\0
Key;Added;HKU\S-1-5-21-714192414-4250913369-3940896113-1001_Classes\Local Settings\Software\Microsoft\Windows\Shell\BagMRU\1\4
Key;Added;HKU\S-1-5-21-714192414-4250913369-3940896113-1001_Classes\Local Settings\Software\Microsoft\Windows\Shell\BagMRU\4\1
Key;Added;HKU\S-1-5-21-714192414-4250913369-3940896113-1001_Classes\Local Settings\Software\Microsoft\Windows\Shell\BagMRU\4\1\0
Key;Added;HKU\S-1-5-21-714192414-4250913369-3940896113-1001_Classes\Local Settings\Software\Microsoft\Windows\Shell\Bags\60
Key;Added;HKU\S-1-5-21-714192414-4250913369-3940896113-1001_Classes\Local Settings\Software\Microsoft\Windows\Shell\Bags\60\Shell
Key;Added;HKU\S-1-5-21-714192414-4250913369-3940896113-1001_Classes\Local Settings\Software\Microsoft\Windows\Shell\Bags\60\Shell\{80213E82-BCFD-4C4F-8817-BB27601267A9}
Key;Added;HKU\S-1-5-21-714192414-4250913369-3940896113-1001_Classes\Local Settings\Software\Microsoft\Windows\Shell\Bags\61
Key;Added;HKU\S-1-5-21-714192414-4250913369-3940896113-1001_Classes\Local Settings\Software\Microsoft\Windows\Shell\Bags\61\Shell
Key;Added;HKU\S-1-5-21-714192414-4250913369-3940896113-1001_Classes\Local Settings\Software\Microsoft\Windows\Shell\Bags\61\Shell\{80213E82-BCFD-4C4F-8817-BB27601267A9}
Key;Added;HKU\S-1-5-21-714192414-4250913369-3940896113-1001_Classes\Local Settings\Software\Microsoft\Windows\Shell\Bags\62
Key;Added;HKU\S-1-5-21-714192414-4250913369-3940896113-1001_Classes\Local Settings\Software\Microsoft\Windows\Shell\Bags\62\Shell
Key;Added;HKU\S-1-5-21-714192414-4250913369-3940896113-1001_Classes\Local Settings\Software\Microsoft\Windows\Shell\Bags\62\Shell\{5C4F28B5-F869-4E84-8E60-F11DB97C5CC7}
Key;Added;HKU\S-1-5-21-714192414-4250913369-3940896113-1001_Classes\Local Settings\Software\Microsoft\Windows\Shell\Bags\63
Key;Added;HKU\S-1-5-21-714192414-4250913369-3940896113-1001_Classes\Local Settings\Software\Microsoft\Windows\Shell\Bags\63\Shell
Key;Added;HKU\S-1-5-21-714192414-4250913369-3940896113-1001_Classes\Local Settings\Software\Microsoft\Windows\Shell\Bags\63\Shell\{5C4F28B5-F869-4E84-8E60-F11DB97C5CC7}
Key;Added;HKU\S-1-5-21-714192414-4250913369-3940896113-1001_Classes\Local Settings\Software\Microsoft\Windows\Shell\Bags\64
