Type;Operation;Path
Key;Added;HKU\S-1-5-21-714192414-4250913369-3940896113-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\SessionInfo\1\ApplicationViewManagement\W32:00000000000903D0
File;Added;C:\$Recycle.Bin\S-1-5-21-714192414-4250913369-3940896113-1001\$IGQV5OR.CSV
File;Added;C:\$Recycle.Bin\S-1-5-21-714192414-4250913369-3940896113-1001\$RGQV5OR.CSV
File;Added;C:\Users\Cuckoo\Desktop\Tools\Results\Logfile.CSV
File;Added;C:\Windows\Prefetch\GANDCRAB_V4.EXE-89137057.pf
File;Added;C:\Windows\Prefetch\GANDCRAB_V4.EXE-89137057.pf
Value;Added;HKU\S-1-5-21-714192414-4250913369-3940896113-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count\P:\Hfref\Phpxbb\Qbjaybnqf\tnaqpeno_i4.rkr:  00 00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 80 BF 00 00 80 BF 00 00 80 BF 00 00 80 BF 00 00 80 BF 00 00 80 BF 00 00 80 BF 00 00 80 BF 00 00 80 BF 00 00 80 BF FF FF FF FF C0 33 97 4C 82 58 D8 01 00 00 00 00
Value;Added;HKU\S-1-5-21-714192414-4250913369-3940896113-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\SessionInfo\1\ApplicationViewManagement\W32:00000000000903D0\VirtualDesktop:  10 00 00 00 30 30 44 56 6F E1 36 54 3D 17 4C 40 9F 7D BD D8 A9 66 80 A5
Value;Added;HKU\S-1-5-21-714192414-4250913369-3940896113-1001\SOFTWARE\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\Compatibility Assistant\Store\C:\Users\Cuckoo\Downloads\gandcrab_v4.exe:  53 41 43 50 01 00 00 00 00 00 00 00 07 00 00 00 28 00 00 00 76 66 08 00 FC 29 04 00 01 00 00 00 00 00 00 00 00 00 01 06 71 00 00 00 50 BB 64 ED DD AC D5 01 00 00 00 00 00 00 00 00
Value;Added;HKU\S-1-5-21-714192414-4250913369-3940896113-1001\SOFTWARE\Sysinternals\Process Monitor\SaveDialog:  2C 00 00 00 00 00 00 00 01 00 00 00 FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF E2 00 00 00 FF 00 00 00 C2 02 00 00 90 02 00 00
File;Modified;C:\ProgramData\Microsoft\Windows Defender\Scans\mpenginedb.db
File;Modified;C:\ProgramData\Microsoft\Windows Defender\Scans\mpenginedb.db-wal
File;Modified;C:\Users\All Users\Microsoft\Windows Defender\Scans\mpenginedb.db
File;Modified;C:\Users\All Users\Microsoft\Windows Defender\Scans\mpenginedb.db-wal
File;Modified;C:\Users\Cuckoo\AppData\Roaming\Microsoft\Windows\Recent\AutomaticDestinations\f01b4d95cf55d32a.automaticDestinations-ms
File;Modified;C:\Users\Cuckoo\ntuser.dat.LOG1
File;Modified;C:\Windows\bootstat.dat
File;Modified;C:\Windows\Prefetch\DLLHOST.EXE-5E46FA0D.pf
File;Modified;C:\Windows\Prefetch\SEARCHFILTERHOST.EXE-77482212.pf
File;Modified;C:\Windows\Prefetch\SEARCHPROTOCOLHOST.EXE-0CB8CADE.pf
File;Modified;C:\Windows\Prefetch\TASKHOSTW.EXE-3E0B74C8.pf
File;Modified;C:\Windows\ServiceProfiles\NetworkService\NTUSER.DAT.LOG2
File;Modified;C:\Windows\bootstat.dat
File;Modified;C:\Windows\Prefetch\DLLHOST.EXE-5E46FA0D.pf
File;Modified;C:\Windows\Prefetch\SEARCHFILTERHOST.EXE-77482212.pf
File;Modified;C:\Windows\Prefetch\SEARCHPROTOCOLHOST.EXE-0CB8CADE.pf
File;Modified;C:\Windows\Prefetch\TASKHOSTW.EXE-3E0B74C8.pf
File;Modified;C:\Windows\ServiceProfiles\NetworkService\NTUSER.DAT.LOG2
