Type;Operation;Path
File;Deleted;C:\ProgramData\Microsoft\Search\Data\Applications\Windows\edb00010.jtx
File;Deleted;C:\ProgramData\Microsoft\Search\Data\Applications\Windows\edb00011.jtx
File;Deleted;C:\ProgramData\Microsoft\Search\Data\Applications\Windows\edb00012.jtx
File;Deleted;C:\Users\All Users\Microsoft\Search\Data\Applications\Windows\edb00010.jtx
File;Deleted;C:\Users\All Users\Microsoft\Search\Data\Applications\Windows\edb00011.jtx
File;Deleted;C:\Users\All Users\Microsoft\Search\Data\Applications\Windows\edb00012.jtx
File;Deleted;C:\Users\Cuckoo\AppData\Local\Microsoft\Credentials\DFBE70A7E5CC19A398EBF1B96859CE5D
File;Deleted;C:\Users\Cuckoo\AppData\Local\Microsoft\Internet Explorer\brndlog.bak
File;Deleted;C:\Users\Cuckoo\AppData\Local\Microsoft\Internet Explorer\CacheStorage\.inUse
File;Deleted;C:\Users\Cuckoo\AppData\Local\Microsoft\Windows\Caches\{3DA71D5A-20CC-432F-A115-DFE92379E91F}.3.ver0x0000000000000022.db
File;Deleted;C:\Users\Cuckoo\AppData\Local\Microsoft\Windows\Caches\{AFBF9F1A-8EE8-4C77-AF34-C647E37CA0D9}.1.ver0x0000000000000002.db
File;Deleted;C:\Users\Cuckoo\AppData\Local\Packages\Microsoft.Windows.Search_cw5n1h2txyewy\LocalState\ConstraintIndex\Apps_{2cce8b53-8ab6-4b76-ac6d-238af69a57e8}\0.0.filtertrie.intermediate.txt
File;Deleted;C:\Users\Cuckoo\AppData\Local\Packages\Microsoft.Windows.Search_cw5n1h2txyewy\LocalState\ConstraintIndex\Apps_{2cce8b53-8ab6-4b76-ac6d-238af69a57e8}\0.1.filtertrie.intermediate.txt
File;Deleted;C:\Users\Cuckoo\AppData\Local\Packages\Microsoft.Windows.Search_cw5n1h2txyewy\LocalState\ConstraintIndex\Apps_{2cce8b53-8ab6-4b76-ac6d-238af69a57e8}\0.2.filtertrie.intermediate.txt
File;Deleted;C:\Users\Cuckoo\AppData\Local\Packages\Microsoft.Windows.Search_cw5n1h2txyewy\LocalState\ConstraintIndex\Apps_{2cce8b53-8ab6-4b76-ac6d-238af69a57e8}\Apps.ft
File;Deleted;C:\Users\Cuckoo\AppData\Local\Packages\Microsoft.Windows.Search_cw5n1h2txyewy\LocalState\ConstraintIndex\Apps_{2cce8b53-8ab6-4b76-ac6d-238af69a57e8}\Apps.index
File;Deleted;C:\Users\Cuckoo\AppData\Local\Packages\Microsoft.Windows.Search_cw5n1h2txyewy\LocalState\ConstraintIndex\Apps_{e859bd7c-0d86-48b3-ab37-635b3f826e4c}\0.0.filtertrie.intermediate.txt
File;Deleted;C:\Users\Cuckoo\AppData\Local\Packages\Microsoft.Windows.Search_cw5n1h2txyewy\LocalState\ConstraintIndex\Apps_{e859bd7c-0d86-48b3-ab37-635b3f826e4c}\0.1.filtertrie.intermediate.txt
File;Deleted;C:\Users\Cuckoo\AppData\Local\Packages\Microsoft.Windows.Search_cw5n1h2txyewy\LocalState\ConstraintIndex\Apps_{e859bd7c-0d86-48b3-ab37-635b3f826e4c}\0.2.filtertrie.intermediate.txt
File;Deleted;C:\Users\Cuckoo\AppData\Local\Packages\Microsoft.Windows.Search_cw5n1h2txyewy\LocalState\ConstraintIndex\Apps_{e859bd7c-0d86-48b3-ab37-635b3f826e4c}\Apps.ft
File;Deleted;C:\Users\Cuckoo\AppData\Local\Packages\Microsoft.Windows.Search_cw5n1h2txyewy\LocalState\ConstraintIndex\Apps_{e859bd7c-0d86-48b3-ab37-635b3f826e4c}\Apps.index
File;Deleted;C:\Users\Cuckoo\Downloads\ryuk.exe
File;Deleted;C:\Windows\servicing\LCU\Package_for_RollupFix~31bf3856ad364e35~amd64~~19041.1645.1.11\amd64_environmentsapp.appxmain_31bf3856ad364e35_10.0.19041.1566_none_01d281f8f9792e9e\f\analog.environmentsapp.components.winmd
File;Deleted;C:\Windows\servicing\LCU\Package_for_RollupFix~31bf3856ad364e35~amd64~~19041.1645.1.11\amd64_environmentsapp.appxmain_31bf3856ad364e35_10.0.19041.1566_none_01d281f8f9792e9e\f\analog.environmentsapp.services.winmd
File;Deleted;C:\Windows\servicing\LCU\Package_for_RollupFix~31bf3856ad364e35~amd64~~19041.1645.1.11\amd64_environmentsapp.appxmain_31bf3856ad364e35_10.0.19041.1566_none_01d281f8f9792e9e\f\analog.shell.util.winmd
File;Deleted;C:\Windows\servicing\LCU\Package_for_RollupFix~31bf3856ad364e35~amd64~~19041.1645.1.11\amd64_environmentsapp.appxmain_31bf3856ad364e35_10.0.19041.1566_none_01d281f8f9792e9e\f\hydrogen.winmd
File;Deleted;C:\Windows\servicing\LCU\Package_for_RollupFix~31bf3856ad364e35~amd64~~19041.1645.1.11\amd64_environmentsapp.appxmain_31bf3856ad364e35_10.0.19041.1566_none_01d281f8f9792e9e\r\analog.environmentsapp.components.winmd
File;Deleted;C:\Windows\servicing\LCU\Package_for_RollupFix~31bf3856ad364e35~amd64~~19041.1645.1.11\amd64_environmentsapp.appxmain_31bf3856ad364e35_10.0.19041.1566_none_01d281f8f9792e9e\r\analog.environmentsapp.services.winmd
File;Deleted;C:\Windows\servicing\LCU\Package_for_RollupFix~31bf3856ad364e35~amd64~~19041.1645.1.11\amd64_environmentsapp.appxmain_31bf3856ad364e35_10.0.19041.1566_none_01d281f8f9792e9e\r\analog.shell.util.winmd
File;Deleted;C:\Windows\servicing\LCU\Package_for_RollupFix~31bf3856ad364e35~amd64~~19041.1645.1.11\amd64_environmentsapp.appxmain_31bf3856ad364e35_10.0.19041.1566_none_01d281f8f9792e9e\r\hydrogen.winmd
File;Deleted;C:\Windows\servicing\LCU\Package_for_RollupFix~31bf3856ad364e35~amd64~~19041.1645.1.11\amd64_microsoft-windows-a..adjustment.appxmain_31bf3856ad364e35_10.0.19041.746_none_3adcb6f0fe65c582\f\components.winmd
File;Deleted;C:\Windows\servicing\LCU\Package_for_RollupFix~31bf3856ad364e35~amd64~~19041.1645.1.11\amd64_microsoft-windows-a..adjustment.appxmain_31bf3856ad364e35_10.0.19041.746_none_3adcb6f0fe65c582\f\desktoplearning.components.winmd
File;Deleted;C:\Windows\servicing\LCU\Package_for_RollupFix~31bf3856ad364e35~amd64~~19041.1645.1.11\amd64_microsoft-windows-a..adjustment.appxmain_31bf3856ad364e35_10.0.19041.746_none_3adcb6f0fe65c582\f\hydrogen.winmd
File;Deleted;C:\Windows\servicing\LCU\Package_for_RollupFix~31bf3856ad364e35~amd64~~19041.1645.1.11\amd64_microsoft-windows-a..adjustment.appxmain_31bf3856ad364e35_10.0.19041.746_none_3adcb6f0fe65c582\f\models.winmd
File;Deleted;C:\Windows\servicing\LCU\Package_for_RollupFix~31bf3856ad364e35~amd64~~19041.1645.1.11\amd64_microsoft-windows-a..adjustment.appxmain_31bf3856ad364e35_10.0.19041.746_none_3adcb6f0fe65c582\f\roomadjustment.components.winmd
File;Deleted;C:\Windows\servicing\LCU\Package_for_RollupFix~31bf3856ad364e35~amd64~~19041.1645.1.11\amd64_microsoft-windows-a..adjustment.appxmain_31bf3856ad364e35_10.0.19041.746_none_3adcb6f0fe65c582\r\components.winmd
File;Deleted;C:\Windows\servicing\LCU\Package_for_RollupFix~31bf3856ad364e35~amd64~~19041.1645.1.11\amd64_microsoft-windows-a..adjustment.appxmain_31bf3856ad364e35_10.0.19041.746_none_3adcb6f0fe65c582\r\desktoplearning.components.winmd
File;Deleted;C:\Windows\servicing\LCU\Package_for_RollupFix~31bf3856ad364e35~amd64~~19041.1645.1.11\amd64_microsoft-windows-a..adjustment.appxmain_31bf3856ad364e35_10.0.19041.746_none_3adcb6f0fe65c582\r\hydrogen.winmd
File;Deleted;C:\Windows\servicing\LCU\Package_for_RollupFix~31bf3856ad364e35~amd64~~19041.1645.1.11\amd64_microsoft-windows-a..adjustment.appxmain_31bf3856ad364e35_10.0.19041.746_none_3adcb6f0fe65c582\r\models.winmd
File;Deleted;C:\Windows\servicing\LCU\Package_for_RollupFix~31bf3856ad364e35~amd64~~19041.1645.1.11\amd64_microsoft-windows-a..adjustment.appxmain_31bf3856ad364e35_10.0.19041.746_none_3adcb6f0fe65c582\r\roomadjustment.components.winmd
