Type;Operation;Path
Key;Added;HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Component Based Servicing\TiRunning
Key;Added;HKLM\SOFTWARE\Microsoft\Windows\Windows Error Reporting\TermReason\1624
Key;Added;HKLM\SOFTWARE\Microsoft\Windows\Windows Error Reporting\TermReason\3680
Key;Added;HKLM\SOFTWARE\Microsoft\Windows\Windows Error Reporting\TermReason\396
Key;Added;HKLM\SOFTWARE\Microsoft\Windows\Windows Error Reporting\TermReason\5576
Key;Added;HKLM\SOFTWARE\Microsoft\Windows\Windows Error Reporting\TermReason\8276
Key;Added;HKLM\SOFTWARE\Microsoft\Windows\Windows Error Reporting\TermReason\8352
Key;Added;HKLM\SOFTWARE\Microsoft\Windows\Windows Error Reporting\TermReason\9144
Key;Added;HKU\S-1-5-21-714192414-4250913369-3940896113-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\SessionInfo\1\ApplicationViewManagement\W32:0000000000070352
File;Added;C:\ProgramData\Microsoft\Windows\WER\ReportQueue\AppCrash_sodinokibi.exe_bcba6f7f35f4b9fe9b4625a8c529b4062f737e3_7030c000_1926a6dc-0487-41c5-b9ad-67b78ecff60e\Report.wer
File;Added;C:\ProgramData\Microsoft\Windows\WER\ReportQueue\AppCrash_sodinokibi.exe_bcba6f7f35f4b9fe9b4625a8c529b4062f737e3_7030c000_40d9d1d6-dc87-4d51-86f6-827855c03262\Report.wer
File;Added;C:\ProgramData\Microsoft\Windows\WER\ReportQueue\AppCrash_sodinokibi.exe_bcba6f7f35f4b9fe9b4625a8c529b4062f737e3_7030c000_6644dff5-783e-40e8-87e1-177a8c4a2c07\Report.wer
File;Added;C:\ProgramData\Microsoft\Windows\WER\ReportQueue\AppCrash_sodinokibi.exe_bcba6f7f35f4b9fe9b4625a8c529b4062f737e3_7030c000_d31da8d8-8639-4013-8a68-a08dbc495452\Report.wer
File;Added;C:\ProgramData\Microsoft\Windows\WER\ReportQueue\AppCrash_sodinokibi.exe_bcba6f7f35f4b9fe9b4625a8c529b4062f737e3_7030c000_dc8b5f1b-9959-4084-9a22-13d4b2d2b654\Report.wer
File;Added;C:\ProgramData\Microsoft\Windows\WER\ReportQueue\AppCrash_sodinokibi.exe_bcba6f7f35f4b9fe9b4625a8c529b4062f737e3_7030c000_ddd5d18f-5b08-4773-834d-49d395ad2718\Report.wer
File;Added;C:\ProgramData\Microsoft\Windows\WER\Temp\8a4ae145-bf16-49b3-90b2-210a901ded3a
File;Added;C:\ProgramData\Microsoft\Windows\WER\Temp\WER1091.tmp.WERInternalMetadata.xml
File;Added;C:\ProgramData\Microsoft\Windows\WER\Temp\WER5395.tmp.WERInternalMetadata.xml
File;Added;C:\ProgramData\Microsoft\Windows\WER\Temp\WER9627.tmp.WERInternalMetadata.xml
File;Added;C:\Users\All Users\Microsoft\Windows\WER\ReportQueue\AppCrash_sodinokibi.exe_bcba6f7f35f4b9fe9b4625a8c529b4062f737e3_7030c000_1926a6dc-0487-41c5-b9ad-67b78ecff60e\Report.wer
File;Added;C:\Users\All Users\Microsoft\Windows\WER\ReportQueue\AppCrash_sodinokibi.exe_bcba6f7f35f4b9fe9b4625a8c529b4062f737e3_7030c000_40d9d1d6-dc87-4d51-86f6-827855c03262\Report.wer
File;Added;C:\Users\All Users\Microsoft\Windows\WER\ReportQueue\AppCrash_sodinokibi.exe_bcba6f7f35f4b9fe9b4625a8c529b4062f737e3_7030c000_6644dff5-783e-40e8-87e1-177a8c4a2c07\Report.wer
File;Added;C:\Users\All Users\Microsoft\Windows\WER\ReportQueue\AppCrash_sodinokibi.exe_bcba6f7f35f4b9fe9b4625a8c529b4062f737e3_7030c000_d31da8d8-8639-4013-8a68-a08dbc495452\Report.wer
File;Added;C:\Users\All Users\Microsoft\Windows\WER\ReportQueue\AppCrash_sodinokibi.exe_bcba6f7f35f4b9fe9b4625a8c529b4062f737e3_7030c000_dc8b5f1b-9959-4084-9a22-13d4b2d2b654\Report.wer
File;Added;C:\Users\All Users\Microsoft\Windows\WER\ReportQueue\AppCrash_sodinokibi.exe_bcba6f7f35f4b9fe9b4625a8c529b4062f737e3_7030c000_ddd5d18f-5b08-4773-834d-49d395ad2718\Report.wer
File;Added;C:\Users\All Users\Microsoft\Windows\WER\Temp\8a4ae145-bf16-49b3-90b2-210a901ded3a
File;Added;C:\Users\All Users\Microsoft\Windows\WER\Temp\WER1091.tmp.WERInternalMetadata.xml
File;Added;C:\Users\All Users\Microsoft\Windows\WER\Temp\WER5395.tmp.WERInternalMetadata.xml
File;Added;C:\Users\All Users\Microsoft\Windows\WER\Temp\WER9627.tmp.WERInternalMetadata.xml
File;Added;C:\Windows\Logs\CBS\CbsPersist_20220425085705.log
File;Added;C:\Windows\Prefetch\SODINOKIBI.EXE-ED0B0EAF.pf
File;Added;C:\Windows\Prefetch\WERFAULT.EXE-37549B7E.pf
File;Added;C:\Windows\Logs\CBS\CbsPersist_20220425085705.log
File;Added;C:\Windows\Prefetch\SODINOKIBI.EXE-ED0B0EAF.pf
File;Added;C:\Windows\Prefetch\WERFAULT.EXE-37549B7E.pf
Value;Added;HKLM\SOFTWARE\Microsoft\Windows\Windows Error Reporting\TermReason\1624\Terminator: "HAM"
Value;Added;HKLM\SOFTWARE\Microsoft\Windows\Windows Error Reporting\TermReason\1624\Reason: 0x00000000
Value;Added;HKLM\SOFTWARE\Microsoft\Windows\Windows Error Reporting\TermReason\1624\CreationTime:  A4 2C CD A3 81 58 D8 01
Value;Added;HKLM\SOFTWARE\Microsoft\Windows\Windows Error Reporting\TermReason\3680\Terminator: "WerSvcKernelMsgDone"
Value;Added;HKLM\SOFTWARE\Microsoft\Windows\Windows Error Reporting\TermReason\3680\Reason: 0x00000001
Value;Added;HKLM\SOFTWARE\Microsoft\Windows\Windows Error Reporting\TermReason\3680\CreationTime:  4C BF B6 67 82 58 D8 01
Value;Added;HKLM\SOFTWARE\Microsoft\Windows\Windows Error Reporting\TermReason\396\Terminator: "WerSvcKernelMsgDone"
Value;Added;HKLM\SOFTWARE\Microsoft\Windows\Windows Error Reporting\TermReason\396\Reason: 0x00000001
Value;Added;HKLM\SOFTWARE\Microsoft\Windows\Windows Error Reporting\TermReason\396\CreationTime:  B4 FF B1 67 82 58 D8 01
Value;Added;HKLM\SOFTWARE\Microsoft\Windows\Windows Error Reporting\TermReason\5576\Terminator: "WerSvcKernelMsgDone"
Value;Added;HKLM\SOFTWARE\Microsoft\Windows\Windows Error Reporting\TermReason\5576\Reason: 0x00000001
Value;Added;HKLM\SOFTWARE\Microsoft\Windows\Windows Error Reporting\TermReason\5576\CreationTime:  5A 92 B0 5D 82 58 D8 01
Value;Added;HKLM\SOFTWARE\Microsoft\Windows\Windows Error Reporting\TermReason\8276\Terminator: "WerSvcKernelMsgDone"
Value;Added;HKLM\SOFTWARE\Microsoft\Windows\Windows Error Reporting\TermReason\8276\Reason: 0x00000001
Value;Added;HKLM\SOFTWARE\Microsoft\Windows\Windows Error Reporting\TermReason\8276\CreationTime:  76 B6 0A 24 82 58 D8 01
Value;Added;HKLM\SOFTWARE\Microsoft\Windows\Windows Error Reporting\TermReason\8352\Terminator: "WerSvcKernelMsgDone"
Value;Added;HKLM\SOFTWARE\Microsoft\Windows\Windows Error Reporting\TermReason\8352\Reason: 0x00000001
Value;Added;HKLM\SOFTWARE\Microsoft\Windows\Windows Error Reporting\TermReason\8352\CreationTime:  BF 55 AE 5D 82 58 D8 01
Value;Added;HKLM\SOFTWARE\Microsoft\Windows\Windows Error Reporting\TermReason\9144\Terminator: "WerSvcKernelMsgDone"
Value;Added;HKLM\SOFTWARE\Microsoft\Windows\Windows Error Reporting\TermReason\9144\Reason: 0x00000001
Value;Added;HKLM\SOFTWARE\Microsoft\Windows\Windows Error Reporting\TermReason\9144\CreationTime:  5A 77 14 24 82 58 D8 01
Value;Added;HKU\S-1-5-21-714192414-4250913369-3940896113-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count\P:\Hfref\Phpxbb\Qbjaybnqf\fbqvabxvov.rkr:  00 00 00 00 03 00 00 00 00 00 00 00 00 00 00 00 00 00 80 BF 00 00 80 BF 00 00 80 BF 00 00 80 BF 00 00 80 BF 00 00 80 BF 00 00 80 BF 00 00 80 BF 00 00 80 BF 00 00 80 BF FF FF FF FF F0 B8 28 65 82 58 D8 01 00 00 00 00
Value;Added;HKU\S-1-5-21-714192414-4250913369-3940896113-1001\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\SessionInfo\1\ApplicationViewManagement\W32:0000000000070352\VirtualDesktop:  10 00 00 00 30 30 44 56 6F E1 36 54 3D 17 4C 40 9F 7D BD D8 A9 66 80 A5
Value;Added;HKU\S-1-5-21-714192414-4250913369-3940896113-1001\SOFTWARE\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\Compatibility Assistant\Store\C:\Users\Cuckoo\Downloads\sodinokibi.exe:  53 41 43 50 01 00 00 00 00 00 00 00 07 00 00 00 28 00 00 00 00 88 04 00 1A EF 04 00 01 00 00 00 00 00 00 00 00 00 00 0A 71 20 00 00 50 BB 64 ED DD AC D5 01 00 00 00 00 00 00 00 00 05 00 00 00 10 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 02 00 00 00 28 00 00 00 00 00 00 00 00 00 00 00 10 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 52 1C 00 00 00 00 00 00 03 00 00 00 03 00 00 00
Value;Added;HKU\S-1-5-21-714192414-4250913369-3940896113-1001\SOFTWARE\Sysinternals\Process Monitor\FilterDialog:  2C 00 00 00 00 00 00 00 01 00 00 00 FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF 62 00 00 00 E4 00 00 00 BC 02 00 00 44 02 00 00
Value;Added;HKU\S-1-5-21-714192414-4250913369-3940896113-1001\SOFTWARE\Sysinternals\Process Monitor\FilterControlColumns:  64 00 00 00 64 00 00 00 64 00 00 00 64 00 00 00 00 00 00 00 01 00 00 00 02 00 00 00 03 00 00 00
Value;Added;HKU\S-1-5-21-714192414-4250913369-3940896113-1001\SOFTWARE\Classes\Local Settings\MuiCache\3\417C44EB\@C:\Program Files\Windows NT\Accessories\WORDPAD.EXE,-300: "Office Open XML Document"
Value;Added;HKU\S-1-5-21-714192414-4250913369-3940896113-1001_Classes\Local Settings\MuiCache\3\417C44EB\@C:\Program Files\Windows NT\Accessories\WORDPAD.EXE,-300: "Office Open XML Document"
File;Modified;C:\ProgramData\Microsoft\Windows\AppRepository\StateRepository-Deployment.srd-wal
File;Modified;C:\Users\All Users\Microsoft\Windows\AppRepository\StateRepository-Deployment.srd-wal
File;Modified;C:\Users\Cuckoo\AppData\Local\D3DSCache\e8010882af4f153f\F4EB2D6C-ED2B-4BDD-AD9D-F913287E6768.lock
File;Modified;C:\Users\Cuckoo\AppData\Local\Microsoft\Windows\UsrClass.dat.LOG1
File;Modified;C:\Users\Cuckoo\AppData\Local\Packages\Microsoft.Windows.Search_cw5n1h2txyewy\AppData\Indexed DB\edb.chk
File;Modified;C:\Users\Cuckoo\AppData\Local\Packages\Microsoft.Windows.Search_cw5n1h2txyewy\AppData\Indexed DB\edb.log
File;Modified;C:\Users\Cuckoo\AppData\Local\Packages\Microsoft.Windows.Search_cw5n1h2txyewy\AppData\Indexed DB\IndexedDB.edb
File;Modified;C:\Users\Cuckoo\AppData\Local\Packages\Microsoft.Windows.Search_cw5n1h2txyewy\AppData\Indexed DB\IndexedDB.jfm
File;Modified;C:\Users\Cuckoo\AppData\Local\Packages\Microsoft.Windows.Search_cw5n1h2txyewy\Settings\settings.dat.LOG1
File;Modified;C:\Users\Cuckoo\AppData\Roaming\Microsoft\Windows\Recent\AutomaticDestinations\5f7b5f1e01b83767.automaticDestinations-ms
File;Modified;C:\Users\Cuckoo\AppData\Roaming\Microsoft\Windows\Recent\Malware.zip.lnk
File;Modified;C:\Users\Cuckoo\ntuser.dat.LOG1
File;Modified;C:\Users\Cuckoo\ntuser.dat.LOG2
File;Modified;C:\Windows\appcompat\Programs\Amcache.hve.LOG1
File;Modified;C:\Windows\Logs\CBS\CBS.log
File;Modified;C:\Windows\Prefetch\CONSENT.EXE-531BD9EA.pf
File;Modified;C:\Windows\Prefetch\DLLHOST.EXE-5E46FA0D.pf
File;Modified;C:\Windows\Prefetch\PROCMON64.EXE-99F0093C.pf
File;Modified;C:\Windows\Prefetch\SVCHOST.EXE-5AC380EC.pf
File;Modified;C:\Windows\Prefetch\SVCHOST.EXE-80F4A784.pf
File;Modified;C:\Windows\Prefetch\TASKHOSTW.EXE-3E0B74C8.pf
File;Modified;C:\Windows\Prefetch\TASKMGR.EXE-5F5F473D.pf
File;Modified;C:\Windows\Prefetch\TIWORKER.EXE-5699CA64.pf
File;Modified;C:\Windows\Prefetch\TRUSTEDINSTALLER.EXE-3CC531E5.pf
File;Modified;C:\Windows\ServiceProfiles\NetworkService\NTUSER.DAT.LOG2
File;Modified;C:\Windows\System32\config\BBI.LOG2
File;Modified;C:\Windows\System32\config\SOFTWARE.LOG1
File;Modified;C:\Windows\System32\wbem\Repository\INDEX.BTR
File;Modified;C:\Windows\System32\wbem\Repository\MAPPING1.MAP
File;Modified;C:\Windows\System32\wbem\Repository\OBJECTS.DATA
File;Modified;C:\Windows\System32\winevt\Logs\Microsoft-Windows-Application-Experience%4Program-Compatibility-Assistant.evtx
File;Modified;C:\Windows\System32\winevt\Logs\Microsoft-Windows-Fault-Tolerant-Heap%4Operational.evtx
File;Modified;C:\Windows\System32\winevt\Logs\Microsoft-Windows-WER-PayloadHealth%4Operational.evtx
File;Modified;C:\Windows\appcompat\Programs\Amcache.hve.LOG1
File;Modified;C:\Windows\Logs\CBS\CBS.log
File;Modified;C:\Windows\Prefetch\CONSENT.EXE-531BD9EA.pf
File;Modified;C:\Windows\Prefetch\DLLHOST.EXE-5E46FA0D.pf
File;Modified;C:\Windows\Prefetch\PROCMON64.EXE-99F0093C.pf
File;Modified;C:\Windows\Prefetch\SVCHOST.EXE-5AC380EC.pf
File;Modified;C:\Windows\Prefetch\SVCHOST.EXE-80F4A784.pf
File;Modified;C:\Windows\Prefetch\TASKHOSTW.EXE-3E0B74C8.pf
File;Modified;C:\Windows\Prefetch\TASKMGR.EXE-5F5F473D.pf
File;Modified;C:\Windows\Prefetch\TIWORKER.EXE-5699CA64.pf
File;Modified;C:\Windows\Prefetch\TRUSTEDINSTALLER.EXE-3CC531E5.pf
File;Modified;C:\Windows\ServiceProfiles\NetworkService\NTUSER.DAT.LOG2
File;Modified;C:\Windows\System32\config\BBI.LOG2
File;Modified;C:\Windows\System32\config\SOFTWARE.LOG1
File;Modified;C:\Windows\System32\wbem\Repository\INDEX.BTR
File;Modified;C:\Windows\System32\wbem\Repository\MAPPING1.MAP
File;Modified;C:\Windows\System32\wbem\Repository\OBJECTS.DATA
File;Modified;C:\Windows\System32\winevt\Logs\Microsoft-Windows-Application-Experience%4Program-Compatibility-Assistant.evtx
File;Modified;C:\Windows\System32\winevt\Logs\Microsoft-Windows-Fault-Tolerant-Heap%4Operational.evtx
File;Modified;C:\Windows\System32\winevt\Logs\Microsoft-Windows-WER-PayloadHealth%4Operational.evtx
Folder;Added;C:\ProgramData\Microsoft\Windows\WER\ReportQueue\AppCrash_sodinokibi.exe_bcba6f7f35f4b9fe9b4625a8c529b4062f737e3_7030c000_1926a6dc-0487-41c5-b9ad-67b78ecff60e
Folder;Added;C:\ProgramData\Microsoft\Windows\WER\ReportQueue\AppCrash_sodinokibi.exe_bcba6f7f35f4b9fe9b4625a8c529b4062f737e3_7030c000_40d9d1d6-dc87-4d51-86f6-827855c03262
Folder;Added;C:\ProgramData\Microsoft\Windows\WER\ReportQueue\AppCrash_sodinokibi.exe_bcba6f7f35f4b9fe9b4625a8c529b4062f737e3_7030c000_6644dff5-783e-40e8-87e1-177a8c4a2c07
Folder;Added;C:\ProgramData\Microsoft\Windows\WER\ReportQueue\AppCrash_sodinokibi.exe_bcba6f7f35f4b9fe9b4625a8c529b4062f737e3_7030c000_d31da8d8-8639-4013-8a68-a08dbc495452
Folder;Added;C:\ProgramData\Microsoft\Windows\WER\ReportQueue\AppCrash_sodinokibi.exe_bcba6f7f35f4b9fe9b4625a8c529b4062f737e3_7030c000_dc8b5f1b-9959-4084-9a22-13d4b2d2b654
Folder;Added;C:\ProgramData\Microsoft\Windows\WER\ReportQueue\AppCrash_sodinokibi.exe_bcba6f7f35f4b9fe9b4625a8c529b4062f737e3_7030c000_ddd5d18f-5b08-4773-834d-49d395ad2718
Folder;Added;C:\Users\All Users\Microsoft\Windows\WER\ReportQueue\AppCrash_sodinokibi.exe_bcba6f7f35f4b9fe9b4625a8c529b4062f737e3_7030c000_1926a6dc-0487-41c5-b9ad-67b78ecff60e
Folder;Added;C:\Users\All Users\Microsoft\Windows\WER\ReportQueue\AppCrash_sodinokibi.exe_bcba6f7f35f4b9fe9b4625a8c529b4062f737e3_7030c000_40d9d1d6-dc87-4d51-86f6-827855c03262
Folder;Added;C:\Users\All Users\Microsoft\Windows\WER\ReportQueue\AppCrash_sodinokibi.exe_bcba6f7f35f4b9fe9b4625a8c529b4062f737e3_7030c000_6644dff5-783e-40e8-87e1-177a8c4a2c07
Folder;Added;C:\Users\All Users\Microsoft\Windows\WER\ReportQueue\AppCrash_sodinokibi.exe_bcba6f7f35f4b9fe9b4625a8c529b4062f737e3_7030c000_d31da8d8-8639-4013-8a68-a08dbc495452
Folder;Added;C:\Users\All Users\Microsoft\Windows\WER\ReportQueue\AppCrash_sodinokibi.exe_bcba6f7f35f4b9fe9b4625a8c529b4062f737e3_7030c000_dc8b5f1b-9959-4084-9a22-13d4b2d2b654
